,workout_id,start_time,end_time,metrics_type,workout_type,leaderboard_rank,total_leaderboard_users,average_effort_score,achievements,leaderboard_percentile,title,description,ride_length,ride_duration,image_url,difficulty_estimate,fitness_discipline,ride_id,instructor_json,instructor_id,instructor_name,total_output,distance,calories,avg_output,avg_cadence,avg_resistance,avg_speed,avg_heart_rate,max_output,max_cadence,max_resistance,max_speed,max_heart_rate,hr_zone1,hr_zone2,hr_zone3,hr_zone4,hr_zone5,effort_score,output_per_min,duration_hrs
0,56a5ac93a93746f3986b72d3dfeb1621,2021-12-05 16:31:05-05:00,2021-12-05 16:34:52-05:00,cycling,scenic,70802.0,118366,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}, {'achievement_id': 'a65918d535794858bd190d09dbe8d845', 'name': 'First Ride', 'slug': '1_cycling_workouts', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/b8be038c89ce4e949bee92f66143f685', 'description': 'Awarded for completing your first Cycling workout. This is just the start.', 'achievement_count': 1}]",40.18383657469206,10 min Perth Skyline Ride,"Cruise along the Swan River path through Perth, Australia. You’ll be accompanied by miles of palm trees and the city skyline.",611.0,600,https://s3.amazonaws.com/peloton-ride-images/9ac121c859fc471b9c71e677106b391169513d61/img_1636388882_85746729fdab480d86a2e8d5123981e5.png,0.0,cycling,8242ffbe298f4f14af47bf836793888a,,,,29.0,1.01,40.0,129.0,62.0,49.0,16.0,,413.0,92.0,72.0,28.0,,,,,,,,2.9,0.16666666666666666
1,b2e321c756d94f17bf598f4e9c9468f9,2021-12-05 17:48:02-05:00,2021-12-05 17:58:00-05:00,cycling,class,20038.0,77645,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",74.1928005666817,10 min Low Impact Ride,"This class is spent primarily in the saddle to give your joints a smooth ride while still giving you a good sweat. Perfect for all levels, especially those recovering from an injury.",863.0,600,https://s3.amazonaws.com/peloton-ride-images/b94eccf72c2bb1b0f42cc029d658db9db2cf3e44/img_1635884207_863f2a49e68c4551a40440c526b3e001.png,4.951046645788693,cycling,ab6abb77695048adb50805045592db0e,,7f3de5e78bb44d8591a0f77f760478c3,Ben Alldis,69.0,2.82,96.0,116.0,86.0,39.0,16.9,,306.0,103.0,65.0,25.1,,,,,,,,6.9,0.16666666666666666
2,f1208d509e374c98a7e1d05658bfbfc7,2021-12-06 08:50:02-05:00,2021-12-06 09:10:00-05:00,cycling,class,55783.0,68088,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",18.07220068147104,20 min 80s Rock Ride,Take a ride through the classic rock tracks of the 80s while you sweat it out on the Bike.,1385.0,1200,https://s3.amazonaws.com/peloton-ride-images/ddb5819ab6e29512e2378af90921c185524d4624/img_1637739387_e1b31372ed194d9982e85b3e8fba1f47.png,7.618461092595276,cycling,12ebcf3973744c60ae8f72d3387d70f6,,c0a9505d8135412d824cf3c97406179b,Leanne Hainsby,106.0,4.2,146.0,88.0,59.0,43.0,12.6,,274.0,110.0,60.0,24.1,,,,,,,,5.3,0.3333333333333333
3,3089db08b7bc4e859ea21e2c30c25f37,2021-12-08 08:56:25-05:00,2021-12-08 09:16:23-05:00,cycling,class,31270.0,245815,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",87.27905131908142,20 min Beginner Ride,"Progress takes practice. Get more comfortable on the Bike, learn proper indoor cycling form and technique, and sweat it out while you learn how to tackle your Leaderboard goals.",1375.0,1200,https://s3.amazonaws.com/peloton-ride-images/78b4bf3a65fca415ed39a8b3b8e7fb7de4b493a9/img_1634217389_f9083afd77964adb92a5c02b4aaa5a3a.jpg,5.614941286650818,cycling,ad7f1e2489d64d639fa30e93d818ee2a,,4904612965164231a37143805a387e40,Kendall Toole,111.0,5.02,154.0,93.0,76.0,37.0,15.0,,196.0,95.0,50.0,21.2,,,,,,,,5.55,0.3333333333333333
4,9d0f2c2ebb464596b00b1038265d7af1,2021-12-10 08:54:58-05:00,2021-12-10 09:14:56-05:00,cycling,class,32649.0,140361,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",76.73926518049886,20 min Beginner Ride,"Progress takes practice. Get more comfortable on the Bike, learn proper indoor cycling form and technique, and sweat it out while you learn how to tackle your Leaderboard goals.",1415.0,1200,https://s3.amazonaws.com/peloton-ride-images/e20543699d905bdd9f462b6c4396f6d4f2012f92/img_1618412175_b93fb800702846f29af53048e5f8cdde.png,6.68424388388896,cycling,bed456df456b4654bc574496a0d02596,,c0a9505d8135412d824cf3c97406179b,Leanne Hainsby,119.0,5.07,164.0,99.0,76.0,38.0,15.2,,293.0,102.0,51.0,24.7,,,,,,,,5.95,0.3333333333333333
5,f2b4e32f10824ac3844df0ce41b06bfe,2021-12-14 08:49:11-05:00,2021-12-14 09:09:09-05:00,cycling,class,11599.0,65666,,"[{'achievement_id': '8d4dc6801e8d40f0bf07ed0e7c77e2f0', 'name': '3-Week Streak', 'slug': '3_week_streak', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/823d5cac74b04cd9af972518caaa0111', 'description': 'Awarded for working out 3 weeks in a row.', 'achievement_count': 5}]",82.33636889714616,20 min Beginner Ride,"Progress takes practice. Get more comfortable on the Bike, learn proper indoor cycling form and technique, and sweat it out while you learn how to tackle your Leaderboard goals.",1392.0,1200,https://s3.amazonaws.com/peloton-ride-images/850ee69f627d6689487d3c5594e79760389980ea/img_1634303332_55476cc96e5e4bbabdddfd46c45a9794.png,6.5780494739835085,cycling,020438f2ea5942e0a5a4daae5e9bbee1,,696bd08dd5284accab065e2147b121d7,Camila Ramón,115.0,5.07,159.0,96.0,78.0,37.0,15.2,,224.0,101.0,48.0,22.3,,,,,,,,5.75,0.3333333333333333
6,691f0a0ff9ba43e3b6eb518cb157c273,2021-12-15 09:02:50-05:00,2021-12-15 09:17:49-05:00,cycling,class,16010.0,30066,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",46.750482272334196,15 min New Tracks Ride,Enjoy new music as you ride to the latest and greatest on the charts.,1176.0,900,https://s3.amazonaws.com/peloton-ride-images/eac3c0499f01154f883cd22c0269d0f1e2ab0e9f/img_1638819938_1ec740f118c144cea0985173fed64ce8.png,6.963668586619407,cycling,966d89711fa74be6b6ba89ff7c483e20,,c0a9505d8135412d824cf3c97406179b,Leanne Hainsby,96.0,4.01,133.0,107.0,81.0,39.0,16.0,,273.0,110.0,54.0,24.1,,,,,,,,6.4,0.25
7,ce62b3d41ce84c55a08651bfe477ddde,2021-12-16 09:09:14-05:00,2021-12-16 09:24:13-05:00,cycling,class,31241.0,53387,,"[{'achievement_id': '5298b832e2274ad59cf8857240440fb2', 'name': '3-Day Streak', 'slug': '3_day_streak', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/b5a3058d09ad4470ba32343dad4ec245', 'description': 'Awarded for working out 3 days in a row.', 'achievement_count': 29}]",41.48200872871673,15 min 2000s Ride,Take a ride through the classic tracks of the 2000s while you sweat it out on the Bike.,1088.0,900,https://s3.amazonaws.com/peloton-ride-images/92b081cfafe988c0ab58f8732f6463f79c1656a4/img_1636553615_68fa77c0cac04f459d8e949c9520c0e5.png,7.34108615948671,cycling,c8e5c6c19fe54a3bb17453ba85e5856d,,048f0ce00edb4427b2dced6cbeb107fd,Jess King,95.0,3.99,131.0,105.0,72.0,43.0,16.0,,235.0,102.0,58.0,22.7,,,,,,,,6.333333333333333,0.25
8,9ae7e95d7087420a8fe1a8393fb11d1f,2021-12-16 09:25:47-05:00,2021-12-16 09:30:45-05:00,cycling,class,326909.0,532707,,"[{'achievement_id': 'bac5aefabb2940ba8f0a170fc9d63bf0', 'name': 'Best Output', 'slug': 'best_output', 'image_url': 'https://s3.amazonaws.com/peloton-achievement-images-prod/c302f0a5128e4e5bb72ba659caac1ec2', 'description': 'Personal best output in a workout.', 'achievement_count': 32}]",38.63249403518257,5 min Cool Down Ride,You've done the hard work! Now take a few extra minutes after your ride to lower your heart rate and ease your body into a healthy recovery zone.,448.0,300,https://s3.amazonaws.com/peloton-ride-images/8b780b1dbd9a3127166e75d93e83857433e67c6f/img_1630509807_4b0ea39f5f0c465984597c14ef768f9c.png,3.8080014783331793,cycling,a422bd36d4f541c3ac1619fb49a14b53,,048f0ce00edb4427b2dced6cbeb107fd,Jess King,22.0,1.18,31.0,74.0,85.0,32.0,14.2,,120.0,96.0,41.0,17.5,,,,,,,,4.4,0.08333333333333333
9,6b0406910f444caa97d3bae78af44f17,2022-01-04 09:33:31-05:00,2022-01-04 09:48:29-05:00,cycling,class,14316.0,27411,,[],47.77279194483967,15 min Soul Ride,"Let’s get soulful as we sweat it out to the sounds of gospel, jazz and R&B in this genre-based ride.",1097.0,900,https://s3.amazonaws.com/peloton-ride-images/7ad77feb29ba758e68f3d276f0b8efee1cd51296/img_1639916063_edc309b2c54a41c8823f8284ecdc01ed.png,6.793977510958643,cycling,25a52f117dc848f7968d1b2a8bccffcf,,c0a9505d8135412d824cf3c97406179b,Leanne Hainsby,90.0,3.95,125.0,100.0,82.0,37.0,15.8,,179.0,105.0,48.0,20.5,,,,,,,,6.0,0.25
