,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,is_outdoor,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,service_id,created,device_time_created_at,strava_id,fitbit_id,effort_zones,is_splits_personal_record,ride
0,1708194498,home_bike_v1,1708196302,cycling,True,True,725f387569f049f497c2d53adebc1443,False,False,cycling,Scenic Ride,20986b98ef504ce19241d32be0f503dd,home_bike,1708194502,COMPLETE,Etc/GMT+5,,178774.24,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1807.0,0.0,1807.0,0.0,,1708194498,1708176497,,,"{'total_effort_points': 69.6, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 0, 'heart_rate_z3_duration': 86, 'heart_rate_z4_duration': 999, 'heart_rate_z5_duration': 699}}",False,
1,1708094952,home_bike_v1,1708096452,cycling,True,False,75ab3d5587f04c529c01c02005e6a3ed,False,False,cycling,Cycling Workout,,home_bike,1708094951,COMPLETE,America/New_York,25 min Just Ride,162748.59,d181e93bdc6c42d3b388a8e72c3b62a6,freestyle,0,0,,,,,,1708094952,1708076951,,,"{'total_effort_points': 56.3, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 5, 'heart_rate_z2_duration': 5, 'heart_rate_z3_duration': 118, 'heart_rate_z4_duration': 1186, 'heart_rate_z5_duration': 161}}",False,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'title': '25 min Just Ride', 'scheduled_start_time': 1708094951, 'duration': 1501, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}}"
2,1707927487,home_bike_v1,1707928989,cycling,True,False,30d2e6e486194dd1964bc0a718c23d7f,False,False,cycling,Cycling Workout,,home_bike,1707927487,COMPLETE,America/New_York,25 min Just Ride,171238.04,d181e93bdc6c42d3b388a8e72c3b62a6,freestyle,0,0,,,,,,1707927487,1707909487,,,"{'total_effort_points': 36.4, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 16, 'heart_rate_z2_duration': 155, 'heart_rate_z3_duration': 889, 'heart_rate_z4_duration': 424, 'heart_rate_z5_duration': 0}}",False,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'title': '25 min Just Ride', 'scheduled_start_time': 1707927487, 'duration': 1502, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}}"
3,1707855270,home_bike_v1,1707856475,cycling,True,True,7ad3a5891a4248c58db17b1c21dfbfa4,False,False,cycling,Scenic Ride,c505b6ebef89474abe72caadeded8de7,home_bike,1707855275,COMPLETE,Etc/GMT+5,,151274.15,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1212.0,0.0,1212.0,0.0,,1707855270,1707837270,,,"{'total_effort_points': 44.6, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 45, 'heart_rate_z3_duration': 80, 'heart_rate_z4_duration': 841, 'heart_rate_z5_duration': 224}}",False,
4,1707752370,home_bike_v1,1707754175,cycling,True,True,821543fa60ef4514a6d80f0dcb0d9647,False,False,cycling,Scenic Ride,b9e11cdeef514470b1dbafd8a925922a,home_bike,1707752375,COMPLETE,Etc/GMT+5,,221079.33,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1808.0,0.0,1808.0,0.0,,1707752370,1707734370,,,"{'total_effort_points': 68.7, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 3, 'heart_rate_z2_duration': 24, 'heart_rate_z3_duration': 80, 'heart_rate_z4_duration': 1037, 'heart_rate_z5_duration': 633}}",False,
5,1707679814,home_bike_v1,1707681619,cycling,True,True,d80895d493d246e1bacdf13825375653,False,False,cycling,Scenic Ride,6059a72a1fd54506a36f4369cbaef2a3,home_bike,1707679819,COMPLETE,Etc/GMT+5,,215075.38,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1808.0,0.0,1807.0,0.0,,1707679814,1707661813,,,"{'total_effort_points': 61.5, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 4, 'heart_rate_z2_duration': 114, 'heart_rate_z3_duration': 323, 'heart_rate_z4_duration': 1323, 'heart_rate_z5_duration': 25}}",False,
6,1707592537,home_bike_v1,1707594038,cycling,True,False,091e2d90ca9c439682aefb462cbee9bd,False,False,cycling,Cycling Workout,,home_bike,1707592537,COMPLETE,America/New_York,25 min Just Ride,173645.07,d181e93bdc6c42d3b388a8e72c3b62a6,freestyle,0,0,,,,,,1707592537,1707574537,,,"{'total_effort_points': 55.4, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 5, 'heart_rate_z2_duration': 47, 'heart_rate_z3_duration': 133, 'heart_rate_z4_duration': 1225, 'heart_rate_z5_duration': 80}}",False,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'title': '25 min Just Ride', 'scheduled_start_time': 1707592537, 'duration': 1501, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png'}}"
7,1707412391,home_bike_v1,1707415097,cycling,True,True,924004a370554fc9996b5ade6d7cdfc5,True,False,cycling,Scenic Ride,fd65838e63044c96bba2b56ecf506361,home_bike,1707412396,COMPLETE,Etc/GMT+5,,278041.35,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,2706.0,0.0,2706.0,0.0,,1707412391,1707394390,,,"{'total_effort_points': 96.9, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 37, 'heart_rate_z3_duration': 381, 'heart_rate_z4_duration': 2163, 'heart_rate_z5_duration': 60}}",False,
8,1707341713,home_bike_v1,1707341715,cycling,True,True,143517e9e0e6493e9532eb1b15b2321c,False,False,cycling,Scenic Ride,0cd9283ab66549d990228e42c739e438,home_bike,1707341715,COMPLETE,Etc/GMT+5,,0.0,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,,,,,,1707341713,1707323712,,,,False,
9,1707232465,home_bike_v1,1707234270,cycling,True,True,7e61b492562a44d7afd24ed778999085,False,False,cycling,Scenic Ride,b58ecaabf45e447a92197627f1945ab0,home_bike,1707232470,COMPLETE,Etc/GMT+5,,216956.76,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1808.0,0.0,1808.0,0.0,,1707232465,1707214465,,,"{'total_effort_points': 71.2, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 2, 'heart_rate_z3_duration': 21, 'heart_rate_z4_duration': 628, 'heart_rate_z5_duration': 1140}}",False,
10,1707146350,home_bike_v1,1707148155,cycling,True,True,e79f3e233bbd4568bc455bbae083d9c9,False,False,cycling,Scenic Ride,5cec783639d84ee3b7eb11947f0f3fea,home_bike,1707146355,COMPLETE,Etc/GMT+5,,224351.65,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1798.0,0.0,1798.0,0.0,,1707146350,1707128350,,,"{'total_effort_points': 69.3, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 3, 'heart_rate_z2_duration': 0, 'heart_rate_z3_duration': 80, 'heart_rate_z4_duration': 478, 'heart_rate_z5_duration': 1213}}",False,
11,1706806933,home_bike_v1,1706808138,cycling,True,True,37bd6f0d930442e1b0da2b156514825f,True,False,cycling,Scenic Ride,26b6440a55424e6c8e77705b247d637b,home_bike,1706806938,COMPLETE,Etc/GMT+5,,154780.49,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1210.0,0.0,1210.0,0.0,,1706806933,1706788933,,,"{'total_effort_points': 45.5, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 12, 'heart_rate_z3_duration': 93, 'heart_rate_z4_duration': 549, 'heart_rate_z5_duration': 538}}",False,
12,1706721452,home_bike_v1,1706723257,cycling,True,True,8b87c946e96b4582bddabe853f031591,False,False,cycling,Scenic Ride,969ae10da6d4416089fa3dc0694682e2,home_bike,1706721457,COMPLETE,Etc/GMT+5,,217639.28,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1814.0,0.0,1814.0,0.0,,1706721452,1706703452,,,"{'total_effort_points': 67.5, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 19, 'heart_rate_z3_duration': 144, 'heart_rate_z4_duration': 1182, 'heart_rate_z5_duration': 430}}",False,
13,1706633659,home_bike_v1,1706635464,cycling,True,True,49e92d55729e4d24a214942f4296dfbb,False,False,cycling,Scenic Ride,cb2dd82afacd4d4c8e8bd00440344633,home_bike,1706633664,COMPLETE,Etc/GMT+5,,215923.97,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1808.0,0.0,1808.0,0.0,,1706633659,1706615659,,,"{'total_effort_points': 67.6, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 70, 'heart_rate_z3_duration': 55, 'heart_rate_z4_duration': 1081, 'heart_rate_z5_duration': 563}}",False,
14,1705939957,home_bike_v1,1705941762,cycling,True,True,ba66ddec60654d5cae5c9bc6a8e2e51a,False,False,cycling,Scenic Ride,ae27ac69387e4f20be399545a6c26e5e,home_bike,1705939962,COMPLETE,Etc/GMT+5,,224085.71,d181e93bdc6c42d3b388a8e72c3b62a6,scenic,0,0,1809.0,0.0,,,,1705939957,1705921957,,,"{'total_effort_points': 66.0, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 0, 'heart_rate_z2_duration': 36, 'heart_rate_z3_duration': 236, 'heart_rate_z4_duration': 1369, 'heart_rate_z5_duration': 155}}",False,
15,1705802305,home_bike_v1,1705804407,cycling,True,False,d597c17638c84c82b14c42aaa9e145ff,False,False,cycling,Cycling Workout,,home_bike,1705802305,COMPLETE,America/New_York,35 min Entertainment Ride,238772.18,d181e93bdc6c42d3b388a8e72c3b62a6,freestyle,0,0,,,,,1.0,1705802305,1705784305,,,"{'total_effort_points': 78.8, 'heart_rate_zone_durations': {'heart_rate_z1_duration': 20, 'heart_rate_z2_duration': 28, 'heart_rate_z3_duration': 145, 'heart_rate_z4_duration': 1723, 'heart_rate_z5_duration': 164}}",False,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'title': '35 min Entertainment Ride', 'scheduled_start_time': 1705802305, 'duration': 2102, 'instructor': {'name': 'ENTERTAINMENT', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/entertainment_2x.png'}}"
